"order_id","customer_id","order_date","order_number","order_amount","customer_id-2","first_name","last_name","email","created_date","updated_date"
1,1,"2024-01-01 00:00:00+05:30","ORD001","50.00",1,"Hiren","Parejiya","hiren.parejiya@tatvasoft.com","2024-05-20 23:00:05.208407+05:30",NULL
2,2,"2024-01-01 00:00:00+05:30","ORD002","35.75",2,"John","Doe","johndoe@example.com","2024-05-20 23:02:47.310814+05:30",NULL
3,3,"2024-01-01 00:00:00+05:30","ORD003","100.00",3,"Alice","Smith","alicesmith@example.com","2024-05-20 23:02:47.310814+05:30",NULL
4,4,"2024-01-01 00:00:00+05:30","ORD004","30.25",4,"Bob","Johnson","bjohnson@example.com","2024-05-20 23:02:47.310814+05:30",NULL
5,5,"2024-01-01 00:00:00+05:30","ORD005","90.75",5,"Emma","Brown","emmabrown@example.com","2024-05-20 23:02:47.310814+05:30",NULL
6,6,"2024-01-01 00:00:00+05:30","ORD006","25.50",6,"Michael","Lee","michaellee@example.com","2024-05-20 23:02:47.310814+05:30",NULL
7,7,"2024-01-01 00:00:00+05:30","ORD007","60.00",7,"Sarah","Wilson","sarahwilson@example.com","2024-05-20 23:02:47.310814+05:30",NULL
8,8,"2024-01-01 00:00:00+05:30","ORD008","42.00",8,"David","Clark","davidclark@example.com","2024-05-20 23:02:47.310814+05:30",NULL
9,9,"2024-01-01 00:00:00+05:30","ORD009","120.25",9,"Olivia","Martinez","oliviamartinez@example.com","2024-05-20 23:02:47.310814+05:30",NULL
10,10,"2024-01-01 00:00:00+05:30","ORD010","85.00",10,"James","Garcia","jamesgarcia@example.com","2024-05-20 23:02:47.310814+05:30",NULL
11,1,"2024-01-02 00:00:00+05:30","ORD011","55.00",1,"Hiren","Parejiya","hiren.parejiya@tatvasoft.com","2024-05-20 23:00:05.208407+05:30",NULL
12,1,"2024-01-03 00:00:00+05:30","ORD012","80.25",1,"Hiren","Parejiya","hiren.parejiya@tatvasoft.com","2024-05-20 23:00:05.208407+05:30",NULL
13,2,"2024-01-03 00:00:00+05:30","ORD013","70.00",2,"John","Doe","johndoe@example.com","2024-05-20 23:02:47.310814+05:30",NULL
14,3,"2024-01-04 00:00:00+05:30","ORD014","45.00",3,"Alice","Smith","alicesmith@example.com","2024-05-20 23:02:47.310814+05:30",NULL
15,1,"2024-01-05 00:00:00+05:30","ORD015","95.50",1,"Hiren","Parejiya","hiren.parejiya@tatvasoft.com","2024-05-20 23:00:05.208407+05:30",NULL
16,2,"2024-01-05 00:00:00+05:30","ORD016","27.50",2,"John","Doe","johndoe@example.com","2024-05-20 23:02:47.310814+05:30",NULL
17,2,"2024-01-07 00:00:00+05:30","ORD017","65.75",2,"John","Doe","johndoe@example.com","2024-05-20 23:02:47.310814+05:30",NULL
18,2,"2024-01-10 00:00:00+05:30","ORD018","75.50",2,"John","Doe","johndoe@example.com","2024-05-20 23:02:47.310814+05:30",NULL
