"customer_id","first_name","last_name","email","NoOrders","Total"
4,"Bob","Johnson","bjohnson@example.com","1","30.25"
10,"James","Garcia","jamesgarcia@example.com","1","85.00"
6,"Michael","Lee","michaellee@example.com","1","25.50"
2,"John","Doe","johndoe@example.com","5","274.50"
9,"Olivia","Martinez","oliviamartinez@example.com","1","120.25"
7,"Sarah","Wilson","sarahwilson@example.com","1","60.00"
3,"Alice","Smith","alicesmith@example.com","2","145.00"
1,"Hiren","Parejiya","hiren.parejiya@tatvasoft.com","4","280.75"
5,"Emma","Brown","emmabrown@example.com","1","90.75"
8,"David","Clark","davidclark@example.com","1","42.00"
