"customer_id","first_name","last_name","email"
9,"Olivia","Martinez","oliviamartinez@example.com"
3,"Alice","Smith","alicesmith@example.com"
5,"Emma","Brown","emmabrown@example.com"
4,"Bob","Johnson","bjohnson@example.com"
10,"James","Garcia","jamesgarcia@example.com"
6,"Michael","Lee","michaellee@example.com"
2,"John","Doe","johndoe@example.com"
7,"Sarah","Wilson","sarahwilson@example.com"
1,"Hiren","Parejiya","hiren.parejiya@tatvasoft.com"
8,"David","Clark","davidclark@example.com"
